,상호명,상권업종중분류명,상권업종소분류명,도로명주소,역명,거리,역,검색어,naver_map_url
2447,씨제이푸드빌우오,양식,정통양식/경양식,서울특별시 강남구 도산대로45길 18-10,분당 압구정로데오,656.2184406445227,압구정로데오,압구정로데오역 씨제이푸드빌우오,
2448,치킨앤칩스성내점,닭/오리요리,후라이드/양념치킨,서울특별시 강동구 양재대로89가길 42,5호선 둔촌동,313.6908135328949,둔촌동,둔촌동역 치킨앤칩스성내점,
2449,비어포스트,유흥주점,호프/맥주,서울특별시 영등포구 도림로139길 2,2호선 문래,256.6980453997806,문래,문래역 비어포스트,https://pcmap.place.naver.com/restaurant/1284087143/review/visitor#
2450,간단하지만특별한화피디Cafe,커피점/카페,커피전문점/카페/다방,서울특별시 강남구 테헤란로4길 46,2호선 강남,232.81432116911014,강남,강남역 간단하지만특별한화피디Cafe,
2451,와플플러스,커피점/카페,커피전문점/카페/다방,서울특별시 송파구 동남로11길 13,3호선 경찰병원,412.57432353731673,경찰병원,경찰병원역 와플플러스,
2452,제이호프,유흥주점,호프/맥주,서울특별시 노원구 동일로190길 42,7호선 공릉(서울과학기술대),294.5184751742817,공릉,공릉역 제이호프,
2453,커피빈,커피점/카페,커피전문점/카페/다방,서울특별시 강남구 도산대로67길 7,분당 압구정로데오,481.4597443695508,압구정로데오,압구정로데오역 커피빈,
2454,초원,커피점/카페,커피전문점/카페/다방,서울특별시 노원구 중계로 96,4호선 상계,1561.247106533583,상계,상계역 초원,
2455,뚜레쥬르,제과제빵떡케익,제과점,서울특별시 노원구 한글비석로15길 3,4호선 상계,223.45510768810001,상계,상계역 뚜레쥬르,
2456,놀부부대찌개철판구이가산3단지점,한식,부대찌개/섞어찌개,서울특별시 금천구 가산디지털2로 123,1호선 가산디지털단지,453.4185986895613,가산디지털단지,가산디지털단지역 놀부부대찌개철판구이가산3단지점,
2457,윤달오리집,닭/오리요리,오리고기전문,서울특별시 영등포구 영등포로 181-2,5호선 영등포시장,393.82126693316565,영등포시장,영등포시장역 윤달오리집,https://pcmap.place.naver.com/restaurant/37036328/review/visitor#
2458,두꺼비식당,한식,한식/백반/한정식,서울특별시 구로구 구로동로 214-9,1호선 구로,333.66897185553927,구로,구로역 두꺼비식당,
2459,용가네,한식,한식/백반/한정식,서울특별시 성북구 돌곶이로 9,1호선 외대앞,684.8925670010769,외대앞,외대앞역 용가네,
2460,초청갈비,한식,갈비/삼겹살,서울특별시 마포구 토정로 309,5호선 마포,291.4077518069691,마포,마포역 초청갈비,
2461,중곡닭발,닭/오리요리,닭내장/닭발요리,서울특별시 광진구 긴고랑로 73,7호선 중곡,281.6892239095702,중곡,중곡역 중곡닭발,
2462,취룡문객잔,별식/퓨전요리,퓨전음식전문,서울특별시 광진구 동일로22길 41,2호선 건대입구,287.8876980879224,건대입구,건대입구역 취룡문객잔,
2463,다동골설렁탕,한식,설렁탕집,서울특별시 중구 을지로3길 30-18,1호선 종각,243.05709601424854,종각,종각역 다동골설렁탕,
2464,골목길호프,유흥주점,호프/맥주,서울특별시 관악구 봉천로53길 14,2호선 서울대입구(관악구청),206.83981481905013,서울대입구,서울대입구역 골목길호프,https://pcmap.place.naver.com/restaurant/32892113/review/visitor#
2465,디저트올마이티,커피점/카페,커피전문점/카페/다방,서울특별시 용산구 한남대로28가길 27,경의중앙 한남,706.2247839218512,한남,한남역 디저트올마이티,
2466,샌드위치카페,패스트푸드,패스트푸드,서울특별시 마포구 신촌로 170,경의중앙 신촌,330.9199809458003,신촌,신촌역 샌드위치카페,
2467,밤과음악사이,유흥주점,호프/맥주,서울특별시 용산구 이태원로 242,경의중앙 한남,1224.7814763944693,한남,한남역 밤과음악사이,https://pcmap.place.naver.com/restaurant/18187871/review/visitor#
2468,화성회관,한식,갈비/삼겹살,서울특별시 동작구 여의대방로22나길 14,7호선 보라매,186.85454397910772,보라매,보라매역 화성회관,
2469,여인,한식,한식/백반/한정식,서울특별시 노원구 한글비석로23길 16,4호선 상계,273.14340326451344,상계,상계역 여인,
2470,먹거리소곱창,한식,곱창/양구이전문,서울특별시 성동구 장터길 30,3호선 금호,360.9767536205856,금호,금호역 먹거리소곱창,
2471,라떼야커피,커피점/카페,커피전문점/카페/다방,서울특별시 중구 남대문로10길 28,1호선 종각,213.7187223533396,종각,종각역 라떼야커피,
2472,진부령황태구이,한식,황태전문,서울특별시 관악구 은천로 51,2호선 봉천,253.24965676181327,봉천,봉천역 진부령황태구이,
2473,태극기,양식,정통양식/경양식,서울특별시 노원구 초안산로2길 32,1호선 월계,311.1667739122613,월계,월계역 태극기,
2474,대림호프,유흥주점,호프/맥주,서울특별시 영등포구 도림로38길 7,7호선 대림(구로구청),112.34836328271886,대림,대림역 대림호프,
2475,Saute,양식,정통양식/경양식,서울특별시 성북구 보문로30길 77,4호선 성신여대입구(돈암),361.4985357102925,성신여대입구,성신여대입구역 Saute,https://pcmap.place.naver.com/restaurant/13575222/review/visitor#
2476,투다리,유흥주점,소주방/포장마차,서울특별시 송파구 풍성로 27-1,8호선 강동구청,602.4193545731847,강동구청,강동구청역 투다리,
2477,디어브레드,제과제빵떡케익,제과점,서울특별시 성북구 개운사길 21-3,1호선 신설동,889.7396218081857,신설동,신설동역 디어브레드,
2478,만석궁,중식,중국음식/중국집,서울특별시 마포구 독막로 316,5호선 마포,293.2690408139616,마포,마포역 만석궁,https://pcmap.place.naver.com/restaurant/20310136/review/visitor#
2479,친구네라이스,분식,라면김밥분식,서울특별시 강남구 선릉로129길 20,분당 강남구청,176.0307187754906,강남구청,강남구청역 친구네라이스,
2480,등촌칼국수,분식,국수/만두/칼국수,서울특별시 강서구 화곡로64길 68,9호선 가양,484.8023036292546,가양,가양역 등촌칼국수,
2481,땃따붓따,유흥주점,호프/맥주,서울특별시 송파구 거마로8길 24,5호선 마천,514.9265204679774,마천,마천역 땃따붓따,
2482,참치랑,일식/수산물,참치전문점,서울특별시 강남구 선릉로157길 14-7,분당 압구정로데오,342.10066429511545,압구정로데오,압구정로데오역 참치랑,
2483,융태행과자점,제과제빵떡케익,제과점,서울특별시 중구 남대문로1길 26-9,4호선 회현(남대문시장),231.57664057374905,회현,회현역 융태행과자점,
2484,교동전선생,유흥주점,민속주점,서울특별시 영등포구 영신로23길 3,1호선 영등포,508.28762390858367,영등포,영등포역 교동전선생,
2485,왈가닥,한식,갈비/삼겹살,서울특별시 강남구 언주로 427,9호선 선정릉,638.7365727323441,선정릉,선정릉역 왈가닥,
2486,삼호복아구전문점,한식,한식/백반/한정식,서울특별시 강남구 언주로98길 37,9호선 선정릉,428.73790670192716,선정릉,선정릉역 삼호복아구전문점,
2487,나무미,분식,라면김밥분식,서울특별시 중랑구 용마산로90길 18,경의중앙 망우,1009.2177152865996,망우,망우역 나무미,https://pcmap.place.naver.com/restaurant/11839005/review/visitor#
2488,계절밥상,한식,한식/백반/한정식,서울특별시 광진구 능동로 110,7호선 건대입구,256.7895703281583,건대입구,건대입구역 계절밥상,
2489,딱좋아호프,유흥주점,호프/맥주,서울특별시 성북구 보문로38길 29-1,4호선 성신여대입구(돈암),180.78125204211858,성신여대입구,성신여대입구역 딱좋아호프,https://pcmap.place.naver.com/restaurant/1732239547/review/visitor#
2490,연풍옥,한식,한식/백반/한정식,서울특별시 강남구 테헤란로27길 22,9호선 언주,493.6457366775352,언주,언주역 연풍옥,
2491,극단청국장,한식,한식/백반/한정식,서울특별시 용산구 효창원로13길 7,경의중앙 공덕,508.11796704250384,공덕,공덕역 극단청국장,
2492,덕복루,중식,중국음식/중국집,서울특별시 중구 다산로 152-1,3호선 약수,235.80315926162086,약수,약수역 덕복루,
2493,까페라운지,커피점/카페,커피전문점/카페/다방,서울특별시 서초구 서초대로48길 84,2호선 서초,310.6312927377795,서초,서초역 까페라운지,
2494,미꾸라지네트웍스,한식,한식/백반/한정식,서울특별시 강서구 마곡중앙로 165,9호선 마곡나루,135.1403278245749,마곡나루,마곡나루역 미꾸라지네트웍스,https://pcmap.place.naver.com/restaurant/1931361063/review/visitor#
2495,신사장,커피점/카페,커피전문점/카페/다방,서울특별시 서초구 나루터로 65,3호선 신사,386.67435840056464,신사,신사역 신사장,
2496,셀그린농산킹콩쥬스엔커피,커피점/카페,커피전문점/카페/다방,서울특별시 송파구 양재대로 932,8호선 송파,525.3253729190587,송파,송파역 셀그린농산킹콩쥬스엔커피,
2497,명동닭칼국수,분식,국수/만두/칼국수,서울특별시 강남구 삼성로86길 16,2호선 삼성(무역센터),519.801990106956,삼성,삼성역 명동닭칼국수,
2498,바다회포차,유흥주점,소주방/포장마차,서울특별시 노원구 동일로 1039,7호선 공릉(서울과학기술대),216.52273552606223,공릉,공릉역 바다회포차,https://pcmap.place.naver.com/restaurant/37425755/review/visitor#
2499,베세토,커피점/카페,커피전문점/카페/다방,서울특별시 중구 청계천로 40,1호선 종각,210.99686127822525,종각,종각역 베세토,https://pcmap.place.naver.com/restaurant/1292873699/review/visitor#
2500,청우림한정식,한식,한식/백반/한정식,서울특별시 종로구 삼청로 141,3호선 안국,890.3055553219405,안국,안국역 청우림한정식,
2501,교자칼국수,분식,국수/만두/칼국수,서울특별시 강남구 테헤란로98길 11,2호선 삼성(무역센터),85.57569066800987,삼성,삼성역 교자칼국수,
2502,국수생각,분식,국수/만두/칼국수,서울특별시 마포구 마포대로6길 10,5호선 공덕,228.87377016518292,공덕,공덕역 국수생각,
2503,놀이공간,분식,라면김밥분식,서울특별시 서초구 강남대로 571,7호선 학동,194.0779334937167,학동,학동역 놀이공간,
2504,할매국수,분식,국수/만두/칼국수,서울특별시 강북구 월계로3길 54,4호선 미아사거리,235.21329116034906,미아사거리,미아사거리역 할매국수,https://pcmap.place.naver.com/restaurant/34353254/review/visitor#
2505,도봉식당,한식,한식/백반/한정식,서울특별시 도봉구 도당로 106-1,1호선 방학,669.1204563908682,방학,방학역 도봉식당,
2506,손가네곰국수설렁탕,한식,설렁탕집,서울특별시 성북구 성북로15길 8,4호선 한성대입구(삼선교),694.0256077599114,한성대입구,한성대입구역 손가네곰국수설렁탕,https://pcmap.place.naver.com/restaurant/11888816/review/visitor#
2507,딱즉석떡볶이,분식,떡볶이전문,서울특별시 성북구 오패산로4길 66,4호선 미아사거리,1451.2035747755774,미아사거리,미아사거리역 딱즉석떡볶이,https://pcmap.place.naver.com/restaurant/36410421/review/visitor#
2508,장수마을,한식,한식/백반/한정식,서울특별시 서초구 서초대로78길 42,2호선 강남,200.7983349442456,강남,강남역 장수마을,
